height,weight,gender,division,cgpa
5.4,66,Female,Rajshahi,3.98
6.2,56.6,Male,Rajshahi,2.71
5.6,62.1,Male,Dhaka,3.86
6.3,78.4,Male,Rajshahi,3.36
6.4,61.9,Female,Dhaka,3.09
5.1,76.2,Male,Dhaka,3.17
5.8,77,Female,Rajshahi,3.56
6.3,66.3,Female,Chittagong,2.62
5.8,59.4,Female,Dhaka,3.01
5.7,50.1,Female,Chittagong,3.52
6.4,77.7,Female,Khulna,2.98
5.7,55.5,Female,Dhaka,3.75
6,47.1,Female,Rajshahi,2.82
5.9,78.2,Male,Dhaka,3.25
5.2,70.2,Female,Khulna,2.91
6.3,50,Male,Rajshahi,2.79
5.4,64.2,Female,Rajshahi,3.93
5.1,78.4,Female,Rajshahi,2.98
5.5,65.5,Male,Chittagong,3.22
6.4,59.2,Male,Dhaka,2.54
6.3,67.7,Female,Dhaka,3.32
6,56.2,Male,Khulna,3.47
6,55.8,Male,Dhaka,3.39
6.5,52.7,Male,Dhaka,2.98
6,57.9,Female,Khulna,3.84
6.1,79.4,Female,Chittagong,3.44
5.8,50.4,Female,Dhaka,2.95
5.9,48.2,Male,Rajshahi,3.08
5.4,50,Male,Dhaka,2.74
5.2,69.2,Male,Rajshahi,3.79
6.4,66.7,Male,Khulna,3.93
6.4,76.2,Female,Rajshahi,3.35
6,68.6,Male,Dhaka,2.99
6.2,70.8,Female,Dhaka,3.99
5,63.2,Female,Dhaka,2.85
5.7,68.1,Female,Dhaka,3.42
6.1,73.8,Female,Khulna,2.66
5.3,72.5,Male,Chittagong,3.23
5.5,79.3,Female,Dhaka,2.65
5.3,60.4,Male,Dhaka,2.74
5.2,55.9,Male,Dhaka,2.92
5.6,59.3,Male,Rajshahi,3.38
5.6,45.4,Female,Rajshahi,3.6
5.6,51.4,Male,Chittagong,2.75
5.2,74.5,Female,Rajshahi,3.8
5.2,53.1,Male,Chittagong,3.56
5.3,53.4,Female,Dhaka,3.64
5.7,47.7,Male,Dhaka,2.72
5.4,53.6,Male,Khulna,3.04
6.3,70.6,Male,Dhaka,3.51
5.1,74.7,Female,Dhaka,3.29
5.7,62.4,Female,Dhaka,3.02
6.2,58.6,Male,Khulna,2.86
5.2,53.6,Female,Chittagong,2.59
5.8,48.9,Male,Dhaka,2.85
5.3,58.6,Male,Khulna,3.84
5.2,65,Female,Dhaka,3.72
6.1,52.6,Female,Chittagong,3.62
6.3,60.6,Female,Chittagong,2.73
5.6,52.6,Male,Khulna,2.69
6,62.6,Male,Rajshahi,3.96
5.1,57.4,Male,Dhaka,3.15
5.6,67.7,Male,Dhaka,3.2
5.4,58.1,Male,Dhaka,2.75
6.2,57.4,Male,Rajshahi,3.38
5.7,63.7,Male,Dhaka,2.91
6.2,70.9,Female,Rajshahi,2.85
6.2,52.7,Female,Dhaka,3.54
6.2,59.4,Female,Khulna,2.92
5.7,54.3,Male,Dhaka,3.72
6.1,67,Male,Chittagong,2.64
5.9,51.4,Female,Chittagong,3.73
6.1,75.2,Female,Rajshahi,3.14
5,71.1,Female,Rajshahi,3.63
5.7,68.4,Male,Dhaka,3.49
5.3,66.6,Male,Chittagong,3.17
5.6,58,Male,Khulna,3.44
5.9,63.5,Female,Dhaka,2.5
5.5,75.6,Female,Dhaka,2.83
5.2,65.4,Male,Rajshahi,3.56
5.4,74.4,Male,Dhaka,2.82
6,55.9,Female,Rajshahi,3.72
5.6,69.8,Female,Rajshahi,2.96
6.2,54.3,Female,Rajshahi,3.53
5.2,65.8,Female,Rajshahi,3.9
5.7,61.8,Female,Khulna,2.67
6.5,54.3,Female,Khulna,2.69
6.3,64.8,Female,Khulna,3.52
6.3,77,Female,Khulna,3.14
5.3,76.6,Male,Chittagong,3.75
5.2,54.6,Female,Khulna,3.96
6,56.3,Female,Chittagong,2.61
5.5,79.5,Female,Chittagong,3.19
6,66.7,Male,Chittagong,3.55
5.5,77.8,Male,Dhaka,2.63
5.3,61.3,Male,Chittagong,3.99
6.2,59.2,Male,Chittagong,2.88
5.1,68.1,Female,Chittagong,2.57
5.7,50.3,Female,Khulna,3.53
5.8,65.1,Male,Rajshahi,3.68
